epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,4717.87,1.06841,2.28178,0.51359,0.71225,1.14656,1,0.93595,0.97511,0.71537,0.95579,0.8885,0.91384,0.68753,1.04736,1.74091,0.33222,0.56464,1.09662,0.000505,0.000505,0.000505
52,4807.4,0.94955,1.80532,0.51583,0.60095,1.0828,1,0.95317,0.98188,0.73016,0.95577,0.88806,0.9067,0.70977,1.00802,1.73293,0.32936,0.61185,1.08763,0.0004951,0.0004951,0.0004951
53,4896.72,1.0072,1.63084,0.53758,0.72595,1.13464,0.98598,0.96331,0.98287,0.71861,0.97679,0.87671,0.91715,0.71837,1.03308,1.61333,0.33263,0.578,1.08964,0.0004852,0.0004852,0.0004852
54,4986.6,0.89582,1.79652,0.52541,0.55606,1.05285,0.97236,0.9637,0.98308,0.79213,0.98264,0.87671,0.93109,0.72585,0.89652,1.56062,0.33695,0.54202,1.05362,0.0004753,0.0004753,0.0004753
55,5075.91,0.92182,1.71759,0.51447,0.56672,1.06009,0.97518,0.94521,0.98188,0.75001,0.98215,0.89041,0.91749,0.74117,0.94886,1.58153,0.33709,0.53718,1.05754,0.0004654,0.0004654,0.0004654
56,5164.81,0.90418,1.48322,0.4854,0.53025,1.07823,0.97905,0.93151,0.9818,0.77465,0.97051,0.9018,0.91757,0.75228,0.91748,1.55515,0.33938,0.51577,1.05015,0.0004555,0.0004555,0.0004555
57,5253.51,0.93369,1.66356,0.52322,0.59363,1.06475,0.98571,0.94507,0.98039,0.74524,0.98453,0.87671,0.92593,0.75827,1.06453,1.51319,0.34294,0.55129,1.11535,0.0004456,0.0004456,0.0004456
58,5342.2,0.91075,1.74664,0.51059,0.58696,1.06759,0.98573,0.94596,0.97607,0.75261,0.96614,0.90411,0.93324,0.75798,0.96619,1.51713,0.34105,0.51331,1.08294,0.0004357,0.0004357,0.0004357
59,5431.04,0.95466,1.75651,0.50316,0.58668,1.07003,0.98199,0.91781,0.97961,0.70183,0.99547,0.87671,0.90705,0.74925,1.1683,1.60872,0.34182,0.57218,1.16091,0.0004258,0.0004258,0.0004258
60,5519.96,0.85306,1.68599,0.48325,0.54322,1.02859,0.95847,0.94844,0.98072,0.66344,0.9922,0.87671,0.90926,0.75004,1.29541,1.65347,0.344,0.6049,1.22908,0.0004159,0.0004159,0.0004159
61,5608.66,0.88597,1.79735,0.51369,0.5808,1.04428,0.98083,0.94521,0.98029,0.71283,0.99282,0.87671,0.92443,0.74295,1.14859,1.62442,0.34035,0.57128,1.16016,0.000406,0.000406,0.000406
62,5697.63,0.91666,1.72274,0.53724,0.56509,1.05937,0.98267,0.93151,0.97863,0.72081,1,0.88889,0.90904,0.75383,1.00288,1.61576,0.33713,0.5241,1.07709,0.0003961,0.0003961,0.0003961
63,5787.18,0.89147,1.59131,0.50481,0.554,1.03661,0.98571,0.94517,0.97659,0.72994,0.99545,0.89041,0.92138,0.74613,1.00201,1.58715,0.33896,0.49914,1.08398,0.0003862,0.0003862,0.0003862
64,5877.7,0.83338,1.49543,0.47641,0.53415,1.01714,0.99968,0.94521,0.97893,0.7339,0.97723,0.89041,0.91767,0.74226,1.02151,1.4957,0.34125,0.51929,1.10691,0.0003763,0.0003763,0.0003763
65,5966.74,0.90869,1.62086,0.48398,0.55536,1.05782,0.99374,0.9589,0.9821,0.70193,0.97176,0.86301,0.91484,0.71155,1.117,1.52327,0.33588,0.542,1.14392,0.0003664,0.0003664,0.0003664
66,6054.89,0.96568,2.09443,0.52129,0.62889,1.13691,1,0.9421,0.97889,0.74611,0.98328,0.86301,0.91113,0.77118,0.94992,1.46739,0.33183,0.49601,1.06065,0.0003565,0.0003565,0.0003565
67,6143.12,0.86663,1.65377,0.4845,0.55375,1.07483,1,0.95373,0.98435,0.75071,0.95691,0.91277,0.92701,0.75461,0.96508,1.44636,0.32989,0.51249,1.06843,0.0003466,0.0003466,0.0003466
68,6232.33,0.88876,1.64714,0.48061,0.56902,1.05204,0.98603,0.96709,0.98572,0.78356,0.9652,0.90411,0.92888,0.76159,0.89552,1.50056,0.32954,0.50913,1.04125,0.0003367,0.0003367,0.0003367
69,6321.95,0.92698,1.61799,0.5243,0.56251,1.07391,0.97613,0.9589,0.98573,0.77916,0.96683,0.90411,0.92393,0.75861,0.89807,1.51298,0.32851,0.5345,1.03835,0.0003268,0.0003268,0.0003268
70,6410.69,0.82618,1.64773,0.49592,0.53578,1.01959,0.98801,0.93151,0.97932,0.78139,0.98499,0.89899,0.92565,0.7789,0.92318,1.46711,0.32732,0.52519,1.05376,0.0003169,0.0003169,0.0003169
71,6500.49,0.90173,1.75367,0.49166,0.57104,1.05032,0.99883,0.91781,0.97812,0.76191,0.98393,0.90411,0.93215,0.78455,0.95626,1.44318,0.32698,0.52247,1.06075,0.000307,0.000307,0.000307
72,6588.14,0.86713,1.29878,0.49478,0.52948,1.05113,0.99529,0.91781,0.97724,0.73254,0.98576,0.89041,0.9256,0.76321,1.05969,1.4895,0.32718,0.55322,1.10256,0.0002971,0.0002971,0.0002971
73,6676.27,0.88791,1.49526,0.49545,0.53171,1.04612,0.9968,0.91781,0.97845,0.74766,0.97414,0.89041,0.92363,0.75638,0.99429,1.54904,0.3246,0.54018,1.07641,0.0002872,0.0002872,0.0002872
74,6764.2,0.82398,1.3857,0.50988,0.51062,1.02215,0.99742,0.93151,0.97956,0.71994,0.97427,0.90411,0.91979,0.76264,1.07257,1.52368,0.32408,0.55136,1.10098,0.0002773,0.0002773,0.0002773
75,6853.38,0.82208,1.47748,0.47666,0.49599,1.01891,0.98283,0.9589,0.98401,0.77303,0.96676,0.89041,0.9176,0.76538,0.87982,1.42728,0.32233,0.52526,1.03014,0.0002674,0.0002674,0.0002674
76,6943.06,0.91253,1.56566,0.48089,0.51683,1.03874,0.97294,0.93151,0.98193,0.77802,0.97195,0.87671,0.93284,0.76899,0.85247,1.42241,0.32008,0.56443,1.0148,0.0002575,0.0002575,0.0002575
77,7032.43,0.84848,1.43043,0.49465,0.51344,1.02368,0.96734,0.9589,0.98296,0.75777,0.96243,0.87671,0.9236,0.76668,0.9326,1.40881,0.32127,0.58835,1.04823,0.0002476,0.0002476,0.0002476
78,7122.2,0.84651,1.48701,0.49222,0.50669,1.02009,0.97595,0.9589,0.98425,0.79441,0.96967,0.87671,0.92758,0.77883,0.86412,1.40884,0.32512,0.57093,1.02262,0.0002377,0.0002377,0.0002377
79,7211.24,0.86172,1.47532,0.47053,0.52129,1.02263,0.98565,0.94086,0.98315,0.78239,0.95651,0.90389,0.93861,0.78558,0.84302,1.40001,0.32636,0.51257,1.00981,0.0002278,0.0002278,0.0002278
80,7300.45,0.86386,1.54152,0.47025,0.51795,1.02795,1,0.95212,0.97975,0.79963,0.95638,0.90411,0.93065,0.79253,0.80425,1.38795,0.32926,0.48095,0.98833,0.0002179,0.0002179,0.0002179
81,7389.49,0.84231,1.29561,0.48873,0.50183,1.01574,1,0.9548,0.98048,0.7765,0.96515,0.90411,0.93885,0.78977,0.88003,1.40573,0.32785,0.48461,1.01563,0.000208,0.000208,0.000208
82,7478.41,0.82708,1.30398,0.48969,0.46783,1.02356,1,0.95626,0.98108,0.76547,0.96833,0.90411,0.94849,0.7854,0.90711,1.42184,0.32823,0.50213,1.03373,0.0001981,0.0001981,0.0001981
83,7566.66,0.84593,1.46799,0.49887,0.52112,1.02317,0.99958,0.9589,0.98174,0.80079,0.99067,0.89041,0.94783,0.80593,0.81734,1.36881,0.32569,0.48825,1.00633,0.0001882,0.0001882,0.0001882
84,7654.48,0.82752,1.45551,0.49241,0.48718,1.02492,0.99957,0.9589,0.98169,0.79429,0.9798,0.87671,0.93635,0.79233,0.85954,1.38825,0.33373,0.4868,1.01693,0.0001783,0.0001783,0.0001783
85,7742.86,0.824,1.43258,0.46312,0.49382,1.01786,0.99792,0.9726,0.9862,0.76826,1,0.87667,0.936,0.80027,0.93107,1.39259,0.33317,0.50191,1.04017,0.0001684,0.0001684,0.0001684
86,7831.46,0.78371,1.32469,0.49572,0.45968,1.01259,0.98246,0.9726,0.98486,0.77869,0.97515,0.87671,0.92858,0.80679,0.9104,1.3363,0.33098,0.51531,1.03306,0.0001585,0.0001585,0.0001585
87,7920.45,0.77419,1.17885,0.46346,0.47558,0.98569,0.98018,0.9726,0.98494,0.78385,0.9657,0.87671,0.92058,0.80167,0.88385,1.32565,0.32709,0.52766,1.01861,0.0001486,0.0001486,0.0001486
